state,called,final,dem_votes,rep_votes,other_votes,dem_percent,rep_percent,other_percent,dem_this_margin,margin_shift,vote_change,stateid,EV,X,Y,State_num,Center_X,Center_Y,,2016 Margin,Total 2016 Votes
Arizona,D,Yes,"1,672,143","1,661,686","53,497",0.494,0.491,1.60%,0.30%,3.90%,31.60%,AZ,11,2,2,4,205,374,,-0.035455946,"2,573,165"
Florida,R,Yes,"5,297,045","5,668,731","101,680",0.479,0.512,0.90%,-3.40%,-2.20%,17.50%,FL,29,8,0,12,787,520,,-0.011986256,"9,420,039"
Georgia,D,Yes,"2,473,633","2,461,854","62,229",0.495,0.493,1.20%,0.20%,5.40%,22.10%,GA,16,7,1,13,734,419,,-0.051313427,"4,092,373"
Iowa,R,Yes,"759,061","897,672","34,138",0.449,0.531,2.00%,-8.20%,1.20%,8.00%,IA,6,5,4,19,536,223,,-0.094068381,"1,566,031"
Michigan,D,Yes,"2,804,040","2,649,852","85,410",0.506,0.478,1.50%,2.80%,3.00%,15.40%,MI,16,7,5,26,681,190,,-0.002230333,"4,799,284"
Minnesota,D,Yes,"1,717,077","1,484,065","76,029",0.524,0.453,2.30%,7.10%,5.60%,11.30%,MN,10,5,5,27,519,120,,0.015201305,"2,944,813"
Nevada,D,Yes,"703,486","669,890","32,000",0.501,0.477,2.30%,2.40%,0.00%,24.90%,NV,6,2,4,32,136,240,,0.024171284,"1,125,385"
New Hampshire,D,Yes,"424,921","365,654","15,607",0.527,0.454,1.90%,7.40%,7.00%,8.30%,NH,4,11,6,33,895,146,,0.003675957,"744,158"
North Carolina,R,Yes,"2,684,292","2,758,775","81,737",0.486,0.499,1.50%,-1.30%,2.30%,16.50%,NC,15,7,2,37,808,349,,-0.036552285,"4,741,564"
Ohio,R,Yes,"2,679,165","3,154,834","88,203",0.452,0.533,1.50%,-8.00%,0.10%,7.70%,OH,18,7,4,39,720,250,,-0.081295744,"5,496,487"
Pennsylvania,D,Yes,"3,458,229","3,377,674","79,380",0.5,0.488,1.10%,1.20%,1.90%,13.10%,PA,20,8,4,42,806,221,,-0.007183871,"6,115,402"
Texas,R,Yes,"5,259,126","5,890,347","165,583",0.465,0.521,1.50%,-5.60%,3.40%,26.20%,TX,38,3,0,48,444,471,,-0.089994276,"8,969,226"
